"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
7,1,0,0,NA,"1996","male","white","-1","-1","0","-1","0","2","2","0","1","0",5,"0",0.0356353709939867,5,5.03563537099399,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4.5,4,11," Under and overpaid individuals based on gender / race."," Well constructed, very thorough explanation, and well ran. A little bit long in between periods, but other than that, it was good","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," Sport and Exercise Science","United Kingdom","0","0",NA,"155.245.28.15","cl-9",NA
11,1,0,0,NA,"1993","male","white","1","-2","0","-2","-2","2","1","2","1","1",3,"0",0.282259511528537,3,3.28225951152854,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,7,4,13.5," I think the experience is about relating politcal views to our beliefs on equality of pay. "," I couldn't help but find my own behaviour rather ego-centric at times which made me laugh. As soon as I realised that it only took one other person to accept the offer out of the three for me to obtain that money, I started to be less sharing and desired more  money for myself. Also it is better to accept an offer above <a3>5 in the first stage as you will end up with the possibility of earning much less later on. Finally, I think that my more left-minded politcal views should mean that I would rather have more equality in pay, but it just goes to show how the capitalist system gets to all of us, and when you are low on money you could even end up being unfair and do things to get you ahead of others, despite it being very selfish.","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," BA MODERN LANGUAGES","United Kingdom","1","1",NA,"155.245.28.23","cl-17",NA
17,1,0,0,NA,"1992","male","white","-1","-1","-1","2","-1","2","2","-1","-2","-1",7,"0",-0.162179749691859,7,6.83782025030814,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5.7,4,12.2,"Studying people's behavior in the community, focusing on how likely it is that they will share rewards with others participants. ","Well structured, easy to understand and interesting to participate to.","GRIexpt-2014-12-03-155742","GRI","Read","1","1",NA," MSc Computational Finance","Italy","1","2",NA,"155.245.28.20","cl-14",NA
1,1,0,0,NA,"1994","male","white","2","-2","1","-2","-2","2","1","2","1","-2",2,"0",0.213278876012191,2,2.21327887601219,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8.5,1.5,12.5," Partly about how selfless people are, but also about whether someone's skin color, gender, or political views determined how much people wanted to give."," It was quite long, which would be a real kick in the teeth if you leave with nothing. ","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," History","United Kingdom","1","2",NA,"155.245.28.21","cl-15",NA
15,1,0,0,NA,"1995","male","black","-1","-1","1","0","-1","2","2","-1","1","-1",4,"2",0.632053397363052,4,4.63205339736305,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5.7,3.5,11.7,"Linking greed to political views / opinions people have. i.e someone who's regarded as being more far right tends to act more selfishly than someone regarded as being far left.  ","Well run and a clever idea / hypothesis, which i slowly grasped by the end in terms of if you sway one persons mind you guarantee yourself a certain amount of money however the break between voting and approving was far too long.","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," Business Management","United Kingdom","0","0",NA,"155.245.28.16","cl-10",NA
18,1,0,0,NA,"1994","female","white","1","-2","1","0","-2","2","1","2","-2","-2",2,"0",-0.00337649160064757,2,1.99662350839935,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,5.3,1,8.8," About sharing"," Intresting. Some people made sure they made the most profit out of if, by sharing their succes with one other person so that they had ""power"". The other then only has to accept, making them feel less guitly then if they had actually made the choice to give nothing to the third person. And the third person's decision didn't have any weight. ","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," LLB English and French law","France","1","3",NA,"155.245.28.13","cl-7",NA
3,1,0,0,NA,"1992","female","white","-1","-2","0","0","1","2","2","1","2","2",8,"-2",-0.579857566254213,8,7.42014243374579,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,0,3,5.5," I think the experience measured people's behavior in a specific setting, and to see how the choices developed throughout the ""bidding"". I do also believe the findings will be compared with one's political view and origin. And whether this matters when allocating the money.","I think it was a good experience. It was a lot of waiting, but other than that it was relatively fun.","GRIexpt-2014-12-03-155742","GRI","Read","1","2",NA," BSc Business Management","Norway","1","1",NA,"155.245.28.14","cl-8",NA
8,1,0,0,NA,"1967","male","white","0","2","2","0","-1","-2","1","2","2","1",5,"-1",-0.186889705434441,5,4.81311029456556,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5.7,3,11.2," Decisions making and greed"," it was far too slow ","GRIexpt-2014-12-03-155742","GRI","Read","1","1",NA," organised crime, terrorism and security","United Kingdom","0","0",NA,"155.245.28.17","cl-11",NA
10,1,0,0,NA,"1992","female","white","2","-2","1","-2","-2","2","2","2","-1","-2",3,"0",-0.545119320461526,3,2.45488067953847,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5.7,3,11.2," how much are you willing to share out wealth, even in anon circumstances, and how this compares to your political/social etc beliefs"," I thought it was an interesting exercise, perhaps a little tedious as there were many trials of the same thing. It would be interesting to see how this experiment would run with actual face to face scenarios and comparing this against the computer generated samples to see if people are any less or more 'generous'","GRIexpt-2014-12-03-155742","GRI","Read","1","1",NA," Cognitive Neuroscience","United Kingdom","1","2",NA,"155.245.28.18","cl-12",NA
13,1,0,0,NA,"1990","male","white","-1","-2","-1","1","-2","1","2","1","-1","0",4,"0",0.237992795463651,4,4.23799279546365,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5.7,3,11.2," how do we treat others when we their ""political direction"" if, and how much, this influences our behavior"," people seem to struggle making decisions that benefit everyone no matter political opinion","GRIexpt-2014-12-03-155742","GRI","Read","1","1",NA," MSc Psychology Conversion course","Greece","1","5",NA,"155.245.28.9","cl-3",NA
