"id","period","userperiod","round","instructions","byear","gender","race","ideo1","ideo2","ideo3","ideo4","ideo5","ideo6","ideo7","ideo8","ideo9","ideo10","sp","ideo_test","noise","ideology","ideology.noise","mg","group","group_id","prop1","prop2","prop3","offer","vote","vote_result","pd1","pd2","pd3","earnings","payment","pay_period","select_period","select_earn","payoffdictator","final_earnings","demand","comment","session","treatment","treat_inst","uni","type_student","startyear","degree","nationality","expts","t_expts","moveon","IP","client","seat"
2,1,0,0,NA,"1995","male","white","2","-2","0","-2","-2","2","2","2","1","0",5,"0",0.505509592685848,5,5.50550959268585,1,1.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,1,9.5,"The generosity of people when they are anonymous, with some aspects of prejudice against race, age, gender and political views.","It was a well thought out and good experiment. It wasn't surprising to see that every participant except myself was only interested in getting the most for themselves. My aim was to be as unselfish and fair as possible, and to restore justice in another negotiation if someone else was unfair in another one.","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Mathematics with a year abroad","United Kingdom","1","1",NA,"155.245.28.15","cl-9",NA
8,1,0,0,NA,"1996","female","black","1","0","-1","1","0","2","2","1","0","2",8,"0",0.162571497447789,8,8.16257149744779,1,1.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,6,4,12.5,"Fairness"," That people will always want the most for themselves","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," LLB LAW (INCLUDING A YEAR ABROAD)","United Kingdom","1","1",NA,"155.245.28.8","cl-2",NA
14,1,0,0,NA,"1994","female","white","1","-1","2","1","-2","0","1","-2","1","-2",7,"2",0.289805992087349,7,7.28980599208735,1,1.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,0,4,6.5," Allocating money among peopl, and how people make decisions"," It was good, and interesting","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," BA Accounting and Finance","Spain","1","1",NA,"155.245.28.10","cl-4",NA
3,1,0,0,NA,"1993","female","brown","-1","0","-1","-1","-1","1","0","-1","0","0",6,"-1",0.622498577553779,6,6.62249857755378,1,1.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,2.7,10.2," it was about how to make different decision when there are three or more people deal with the same problem together, and the proportion of the 17 pound need to makes other agree too."," i think this experiment is really helping us the think about the others and during in different situation what we should do and how to persuade another two participants to agree with you  at the same time, its also about teamwork. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," accounting and finance","Other","0","0",NA,"155.245.28.16","cl-10",NA
6,1,0,0,NA,"1996","female","white","1","-1","0","0","-1","2","-1","1","1","0",5,"0",0.185017527732998,5,5.185017527733,1,1.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7,2.4,11.9," How people react to other people's opinions when they don't know each others identity","It was good seeing how people split the money and they always seemed to give themselves the highest amount out of the three, or tired to make them as equal as possible. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Literature","United Kingdom","1","3",NA,"155.245.28.17","cl-11",NA
13,1,0,0,NA,"1994","male","brown","1","0","0","-2","-1","-1","0","0","1","2",5,"0",0.653749593021348,5,5.65374959302135,1,1.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,5,3.9,11.4," I think this experiment was about how we visualize people from their avatar (given to us from the computer) and sort of ""judge"" them based on their looks/gender and give them what we think they should have."," I've never completed anything like this before, at first it was a bit peculiar, however overall it seems to be pretty interesting. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Sports and exercise science","United Kingdom","0","0",NA,"155.245.28.24","cl-18",NA
4,1,0,0,NA,"1996","female","black","2","-1","0","-1","0","-1","-1","0","0","0",6,"-2",-0.463710639392957,6,5.53628936060704,2,2.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,6,4,12.5," fair equality "," People may have taken other factors into consideration like race. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA,"Law llb with a year abroad","United Kingdom","1","2",NA,"155.245.28.19","cl-13",NA
9,1,0,0,NA,"1995","female","white","2","0","-1","-1","1","2","0","-1","1","0",2,"-2",0.0805005334317684,2,2.08050053343177,2,2.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,10.9,4,17.4," About people's rationality in decision-making."," enjoyed.","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," BSc Accounting and Finance","Estonia","1","3",NA,"155.245.28.14","cl-8",NA
15,1,0,0,NA,"1996","male","white","2","-2","2","-1","-2","2","2","2","0","-2",0,"0",0.161712035629898,0,0.161712035629898,2,2.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,7.9,2.1,12.5," Individual's reactions to people's political alignment and race, and the effects on their behaviour in negotiation"," interesting to take part in, confusing at times (cf. notes left on desk no.1)","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," LLB in English and French Law","France","1","1",NA,"155.245.28.41","cl-1",NA
1,1,0,0,NA,"1996","female","brown","1","0","-1","0","-2","2","2","2","2","0",5,"0",-0.427495076600462,5,4.57250492339954,2,2.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6,2.1,10.6,"SHARING AND ECONOMY
BASED HOUSEHOLD INCOME
HOW THE GOVERNMENT DIVIDE MONEY"," PEOPLE LOOK AFTER THEMSELVES BEFORE OTHERS","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," psychology","United Kingdom","0","0",NA,"155.245.28.20","cl-14",NA
10,1,0,0,NA,"1996","male","white","1","-1","0","0","-2","2","1","1","0","-1",5,"0",0.244169427687302,5,5.2441694276873,2,2.2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,10.5," I think that this experiment was about political views, how money should be divided between people who have strong political views and people who don't. I also think different ethnicity and gender was questioned throughout the experiment also.  "," I liked the experiment. It was interesting how people who seemed to have strong political views distributed the money. Also i was interested in how different ethnicity and genders distributed their money too. I am alarmed by how i distributed my money also, making decisions i would not consciously make when thinking of morals. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Sports and exercise science","United Kingdom","0","0",NA,"155.245.28.22","cl-16",NA
18,1,0,0,NA,"1995","male","white","2","-2","1","-1","-2","1","2","2","0","0",3,"0",-0.444947694242001,3,2.555052305758,2,2.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8.5,4.8,15.8," Whether political allignment has any affect on monetary behaviour.","The experiment was good, although its frustrating that other experimentees dont understand that more money can be made collectively rather than individuals being selfish and trying to take the most for themselves, forcing a new proposal where everyone gets less. ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Politics","United Kingdom","1","2",NA,"155.245.28.23","cl-17",NA
5,1,0,0,NA,"1995","female","white","-2","-2","1","0","-2","2","2","2","-2","-2",1,"1",-0.0147263014223427,1,0.985273698577657,3,3.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1.2,8.7,"I think it was about how you share money, and it is supposed to vary depending of race and political views.","I found it interesting and morally complicated. 
 ","GRIexpt-2015-02-25-102407","GRI","Read","1","2",NA," Art History","Spain","1","2",NA,"155.245.28.18","cl-12",NA
